School name,State,City,Degree of urbanization,Number of applicants,Has Early Decision (ED) Plan?,Has Early Action (EA) Plan?,Acceptance rate,ED admit rate,EA admit rate,RD admit rate,Average GPA,GPA Weighted,Percent of students with GPA (4.0+),Percent of students with GPA (3.75-3.99),Percent of students with GPA (3.00-3.24),Percent of students with GPA (3.25-3.49),Percent of students with GPA (2.00-2.49),Percent of students with GPA (Below 1.00),Percent of students with GPA (2.50-2.99),Percent of students with GPA (3.50-3.74),ACT Composite 25th,ACT Composite 50th,ACT Composite 75th,ACT English 75th,ACT Reading 75th,ACT Reading 50th,ACT English 50th,ACT English 25th,ACT Reading 25th,ACT Math 25th,ACT Science 25th,ACT Science 50th,ACT Math 50th,ACT Math 75th,ACT Science 75th,Percentage of enrolled freshmen submitting ACT scores,SAT Reading 25th,SAT Reading 50th,SAT Reading 75th,SAT Math 75th,SAT Composite 50th,SAT Composite 75th,SAT Math 50th,SAT Math 25th,SAT Composite 25th,Percentage of enrolled freshmen submitting SAT scores,Percent Women,Percent Men,Percent Non-binary,Percent Hispanic/Latino,Percent Black or African American,Percent White or Caucasian,Percent American Indian or Alaska Native,Percent Asian,Percent Native Hawaiian or Pacific Islander,Percent Other,Published in-state tuition and fees,Published out-of-state tuition and fees,Total price for in-state students living on campus,Number of men enrolled,Number of women enrolled,Number of students enrolled,Estimated undergraduate enrollment full time,4 year graduation rate,Retention rate,6 year graduation rate,Average Aid Package: Freshmen without need receiving merit-based scholarships and grants (dollar amt),Average Aid Package: Freshmen without need receiving merit-based scholarships and grants (percentage),Average amount of institutional grant aid received by full-time first-time undergraduates,Average net price-students receiving grant or scholarship aid,Average amount of other federal grant aid received by full-time first-time undergraduates,Average amount of Pell grant aid received by full-time first-time undergraduates,Average amount of state/local grant aid received by full-time first-time undergraduates,Average amount of student loan aid received by full-time first-time undergraduates,Average amount of federal student loan aid received by full-time first-time undergraduates,Average amount of other student loan aid received by full-time first-time undergraduates,Average amount of federal  state  local or institutional grant aid received,Percent of full-time first-time undergraduates receiving any financial aid,Percent of full-time first-time undergraduates receiving federal state local or institutional grant aid,Percent of full-time first-time undergraduates receiving other federal grant aid,Percent of full-time first-time undergraduates receiving state/local grant aid,Percent of full-time first-time undergraduates receiving Pell grants,Percent of full-time first-time undergraduates receiving any loans to students or grant aid  from federal state/local government or the institution,Percent of full-time first-time undergraduates receiving institutional grant aid,Percent of full-time first-time undergraduates receiving federal student loans,Percent of full-time first-time undergraduates receiving student loan aid,Percent of full-time first-time undergraduates receiving other loan aid,Percent of full-time first-time undergraduates  receiving federal grant aid,Average net price (income over 110 000),"Average net price (income 75,001-110,000)","Average net price (income 48,001-75,000)","Average net price (income 30,001-48,000)","Average net price (income 0-30,000)",Student
University of Arkansas,AR,Fayetteville,City: Small,"30,549",No,Yes,74%,---,86%,42%,3.82,No,---,56%,6%,14%,---,---,2%,21%,21,24,28,28,---,---,24,20,---,18,---,---,23,26,---,73%,520,570,620,600,1130,1220,560,510,1050,31%,58%,42%,---,12%,4%,75%,1%,3%,---,5%,"$10,496","$31,550","$32,690","2,756","3,810","6,337","28,859",55%,86%,71%,"$4,788",31%,"$5,734","$17,475",$930,"$4,738","$2,896","$8,806","$5,444","$17,455","$8,109",73%,50%,6%,32%,17%,68%,39%,40%,41%,8%,17%,"$20,991","$19,755","$17,379","$14,115","$13,017",
University of Baltimore,MD,Baltimore,City: Large,173,No,No,86%,---,---,86%,2.89,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,530,540,580,530,1060,1110,520,480,1010,12%,68%,32%,---,9%,51%,26%,---,4%,---,10%,"$9,992","$23,984","$35,242",8,17,41,"1,292",20%,65%,33%,---,---,"$3,245","$17,253","$1,587","$4,445","$4,369","$5,686","$5,189","$10,655","$8,833",96%,96%,73%,50%,58%,96%,77%,38%,42%,4%,73%,"$21,327","$19,477","$17,265","$21,339","$14,900",
University of California-Berkeley,CA,Berkeley,City: Midsize,"124,245",No,No,11%,---,---,11%,3.9,No,37.70%,51.50%,0.40%,1.50%,---,---,0.30%,8.60%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,57%,43%,---,25%,2%,22%,---,39%,---,12%,"$17,721","$55,323","$52,147","2,626","3,472","6,641","33,469",79%,97%,93%,"$13,175",4%,"$14,826","$16,997",$578,"$5,264","$12,470","$6,529","$4,463","$6,790","$25,951",61%,50%,14%,39%,24%,56%,46%,20%,21%,7%,25%,"$35,154","$18,713","$11,424","$7,751","$5,895",
University of California-Davis,CA,Davis,Suburb: Small,"98,869",No,No,42%,---,---,42%,4.04,Yes,68.53%,21.92%,0.41%,1.55%,---,---,0.04%,7.55%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,60%,40%,---,29%,2%,23%,---,36%,---,10%,"$16,474","$50,324","$41,915","2,562","3,798","6,578","32,273",66%,93%,86%,"$8,659",7%,"$10,174","$17,315","$5,630","$5,397","$11,517","$6,182","$4,290","$5,153","$21,258",58%,51%,1%,41%,25%,55%,47%,22%,23%,9%,25%,"$31,258","$17,988","$12,304","$9,472","$8,594",
University of California-Irvine,CA,Irvine,City: Large,"122,706",No,No,29%,---,---,29%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,58%,42%,---,31%,2%,15%,---,43%,---,10%,"$16,400","$54,002","$40,822","2,796","3,837","6,796","30,204",73%,94%,87%,"$12,649",7%,"$10,164","$14,647",$860,"$5,364","$11,446","$6,223","$4,573","$6,828","$21,533",71%,65%,19%,54%,35%,69%,56%,24%,25%,7%,35%,"$29,595","$16,809","$11,769","$8,044","$6,485",
University of California-Los Angeles,CA,Los Angeles,City: Large,"146,276",No,No,9%,---,---,9%,3.93,No,---,92%,1%,2%,---,---,---,6%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,60%,40%,---,26%,4%,27%,---,32%,---,12%,"$14,824","$48,674","$38,682","2,598","3,960","6,585","33,471",85%,97%,93%,"$9,371",6%,"$11,285","$15,166","$1,950","$5,975","$11,535","$6,406","$4,696","$13,442","$22,441",60%,49%,6%,38%,26%,54%,43%,21%,21%,3%,26%,"$30,481","$17,250","$11,065","$8,731","$6,864",
University of California-Merced,CA,Merced,Rural: Fringe,"31,582",No,No,92%,---,---,92%,3.57,No,17%,18%,18%,20%,---,---,4%,23%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,42%,58%,---,55%,5%,10%,---,24%,---,6%,"$15,243","$49,094","$42,402","1,149",847,"2,416","8,372",50%,82%,69%,"$7,832",25%,"$11,298","$13,232","$1,074","$5,625","$11,227","$5,023","$4,710","$11,238","$24,868",85%,81%,54%,75%,55%,85%,71%,31%,31%,1%,59%,"$30,561","$17,323","$11,594","$9,581","$8,572",
University of California-Riverside,CA,Riverside,City: Large,"57,714",No,No,77%,---,---,77%,3.83,No,33.90%,26.90%,3.10%,11.90%,---,---,0.40%,23.80%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,54%,46%,---,41%,4%,11%,---,37%,---,7%,"$16,112","$53,714","$41,912","2,430","2,826","5,521","22,599",65%,88%,76%,"$5,791",7%,"$8,728","$13,533","$3,972","$5,693","$11,769","$5,468","$4,710","$15,303","$21,566",75%,70%,9%,62%,43%,74%,57%,33%,34%,2%,43%,"$29,624","$17,297","$12,449","$9,615","$8,240",
University of California-San Diego,CA,La Jolla,City: Large,"134,455",No,No,27%,---,---,27%,3.9,No,27.30%,52.50%,---,3%,---,---,---,17.20%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,57%,43%,---,30%,2%,19%,---,39%,---,10%,"$20,406","$58,008","$44,811","2,972","3,870","7,005","34,955",73%,94%,86%,"$13,435",7%,"$11,334","$13,293","$4,413","$5,448","$11,710","$5,294","$4,057","$12,361","$24,176",70%,64%,5%,55%,40%,67%,56%,28%,29%,3%,40%,"$28,113","$17,131","$10,389","$7,864","$7,487",
University of California-San Francisco,CA,San Francisco,City: Large,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
University of California-Santa Barbara,CA,Santa Barbara,Suburb: Midsize,"110,266",No,No,33%,---,---,33%,4.3,Yes,90.36%,6.14%,0.16%,0.43%,---,---,0.04%,2.86%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,62%,38%,---,30%,2%,34%,---,21%,---,12%,"$16,950","$54,552","$43,362","1,861","3,031","5,043","23,181",70%,93%,83%,"$12,372",4%,"$10,142","$15,283","$1,499","$5,353","$11,579","$7,480","$4,326","$5,956","$21,732",58%,50%,7%,41%,28%,54%,44%,23%,24%,14%,28%,"$30,085","$16,839","$11,398","$8,910","$7,745",
University of California-Santa Cruz,CA,Santa Cruz,City: Small,"71,696",No,No,66%,---,---,66%,3.92,No,45.53%,33.31%,0.85%,3.93%,---,---,0.07%,16.31%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,55%,45%,---,30%,2%,32%,---,25%,---,11%,"$16,503","$54,105","$42,258","1,881","2,310","4,381","17,940",61%,88%,75%,"$7,383",13%,"$10,748","$16,526","$1,875","$5,306","$11,654","$6,799","$4,547","$4,937","$21,564",71%,65%,1%,52%,32%,70%,57%,32%,35%,18%,32%,"$32,674","$18,786","$13,001","$10,114","$9,472",
University of Chicago,IL,Chicago,City: Large,"43,612",Yes,Yes,4%,---,---,4%,4.97,Yes,58.46%,30.07%,2.78%,1.76%,---,---,0.09%,6.85%,34,35,35,36,---,---,35,34,---,33,---,---,34,35,---,27%,740,760,780,800,1550,1570,790,770,1510,49%,45%,55%,---,20%,8%,36%,---,24%,---,12%,"$73,266","$73,266","$98,301",956,770,"1,626","7,519",87%,99%,96%,"$16,338",6%,"$55,101","$27,979","$3,990","$5,351","$7,200","$13,890","$5,213","$43,247","$58,877",53%,46%,17%,3%,17%,48%,45%,6%,7%,1%,17%,"$54,800","$12,816",$770,---,---,
University of Cincinnati-Main Campus,OH,Cincinnati,City: Large,"34,285",No,No,85%,---,---,85%,3.69,No,27.33%,20.81%,10.45%,14.85%,0.41%,0.02%,8.21%,17.79%,24,27,29,30,---,---,25,22,---,23,---,---,26,29,---,30.50%,570,620,670,700,1250,1360,630,590,1150,10.59%,50%,50%,---,6%,10%,73%,---,6%,---,6%,"$14,394","$29,728","$35,226","3,245","3,267","6,922","33,572",42%,85%,75%,"$6,387",62%,"$6,570","$21,511","$1,058","$5,180","$3,622","$9,613","$5,327","$17,916","$8,195",87%,68%,7%,12%,19%,84%,62%,49%,51%,13%,20%,"$26,573","$25,288","$20,607","$16,373","$15,108",
University of Colorado Boulder,CO,Boulder,City: Midsize,"57,541",No,Yes,81%,---,---,81%,3.76,No,41%,21%,5%,11%,1%,---,3%,19%,27,31,32,34,---,---,30,26,---,25,---,---,28,31,---,9%,580,670,690,700,1330,1420,660,570,1230,26%,50%,50%,---,14%,2%,70%,---,6%,---,8%,"$14,002","$43,622","$36,748","3,706","3,743","7,546","32,100",57%,89%,75%,"$10,363",75%,"$8,391","$22,640","$2,550","$5,339","$3,918","$10,773","$5,101","$27,144","$10,838",66%,54%,2%,12%,15%,64%,53%,29%,30%,7%,15%,"$30,549","$26,247","$17,204","$12,545","$11,251",
University of Colorado Colorado Springs,CO,Colorado Springs,City: Large,"13,147",No,No,97%,---,---,97%,3.41,No,19.20%,15.70%,11.90%,13.70%,5.30%,---,18.20%,15.90%,20,24,26,27,---,---,23,18,---,18,---,---,24,25,---,5.96%,510,580,620,600,1130,1240,550,500,1020,33.74%,55%,45%,---,21%,5%,59%,---,4%,---,9%,"$16,054","$30,606","$38,122",685,853,"1,747","9,302",28%,68%,47%,"$2,733",49%,"$3,720","$16,816","$2,843","$4,746","$5,445","$8,642","$5,000","$19,222","$6,698",85%,74%,4%,22%,26%,85%,63%,41%,43%,9%,28%,"$21,830","$20,289","$14,717","$11,986","$11,562",
University of Colorado Denver,CO,Denver,City: Large,"14,931",No,No,75%,---,---,75%,3.52,No,---,33%,13%,17%,2%,---,14%,21%,23,25,32,34,---,---,24,22,---,21,---,---,23,29,---,2%,490,560,620,600,1100,1220,540,490,980,23%,54%,46%,---,32%,8%,40%,---,12%,---,8%,"$13,253","$37,433","$37,711",596,689,"1,628","13,921",28%,73%,46%,"$3,299",73%,"$2,951","$15,303",$597,"$5,682","$4,611","$7,263","$4,989","$17,936","$8,079",90%,86%,26%,42%,41%,89%,83%,33%,34%,5%,41%,"$23,355","$22,700","$19,871","$17,083","$16,135",
University of Connecticut,CT,Storrs,Suburb: Large,"55,479",Yes,No,52%,---,---,52%,---,---,---,---,---,---,---,---,---,---,28,31,33,35,---,---,33,29,---,26,---,---,29,32,---,5%,610,660,710,730,1330,1420,670,600,1210,36%,61%,39%,---,18%,8%,54%,---,13%,---,6%,"$21,336","$44,004","$41,432","1,756","2,715","4,189","20,056",72%,92%,83%,"$12,975",51%,"$14,790","$22,324","$3,938","$5,489","$4,782","$9,724","$5,214","$23,209","$16,989",83%,75%,1%,5%,25%,83%,75%,46%,47%,9%,25%,"$31,886","$26,945","$18,705","$14,656","$13,936",
University of Delaware,DE,Newark,Suburb: Large,"39,741",No,Yes,69%,---,---,69%,3.98,No,51%,22%,2%,8%,---,---,1%,20%,28,29,32,35,---,---,30,27,---,26,---,---,27,32,---,2.80%,610,650,700,690,1290,1360,640,590,1200,19.10%,61%,39%,---,11%,6%,70%,---,6%,---,7%,"$17,660","$43,220","$37,884","1,589","2,485","4,548","19,287",73%,92%,83%,"$9,785",81%,"$11,692","$17,716",$985,"$4,962","$6,199","$10,817","$5,250","$25,162","$12,996",92%,87%,6%,17%,18%,92%,80%,55%,57%,13%,18%,"$25,310","$18,508","$12,857","$10,573","$9,354",
University of Denver,CO,Denver,City: Large,"18,785",Yes,Yes,77%,77%,---,77%,3.76,No,39%,24%,6%,11%,---,---,2%,18%,28,30,32,34,---,---,31,25,---,25,---,---,28,31,---,13%,610,670,700,690,1320,1410,650,580,1240,24%,56%,44%,---,15%,3%,69%,1%,4%,---,9%,"$63,246","$63,246","$85,194",582,743,"1,458","6,619",66%,89%,76%,"$26,775",91%,"$30,657","$43,324","$3,988","$5,312","$5,985","$8,652","$5,139","$26,767","$32,023",100%,99%,7%,6%,15%,99%,99%,35%,36%,5%,15%,"$46,428","$30,753","$28,981","$21,648","$20,820",
University of Florida,FL,Gainesville,City: Midsize,"73,557",No,Yes,24%,---,---,24%,3.92,No,53%,41%,---,1%,---,---,---,6%,29,31,33,35,---,---,32,28,---,26,---,---,28,32,---,40%,660,690,730,750,1390,1480,700,660,1300,80%,55%,45%,---,25%,5%,50%,---,13%,---,7%,"$6,381","$27,598","$24,181","3,376","4,099","6,762","36,573",75%,98%,91%,"$5,494",8%,"$5,447","$11,521",$826,"$5,107","$7,255","$6,562","$4,933","$22,023","$10,724",92%,88%,12%,83%,23%,91%,37%,10%,10%,1%,23%,"$15,571","$13,440","$8,189","$3,437","$2,387",
University of Georgia,GA,Athens,City: Midsize,"43,416",No,Yes,37%,---,41%,33%,4.14,Yes,81.87%,15.56%,0.20%,0.33%,0.08%,---,0.20%,1.76%,27,29,32,34,---,---,33,26,---,25,---,---,30,31,---,46.69%,620,640,710,710,1270,1390,630,600,1160,69.73%,61%,39%,---,8%,6%,68%,---,13%,---,5%,"$11,492","$32,336","$29,566","2,417","3,704","6,146","31,514",72%,95%,88%,"$2,793",9%,"$6,981","$16,303","$1,066","$4,937","$9,409","$7,031","$5,215","$17,445","$11,657",84%,83%,14%,74%,14%,84%,26%,20%,21%,2%,14%,"$17,846","$17,447","$14,400","$9,336","$7,897",
University of Hartford,CT,West Hartford,City: Midsize,"12,210",No,Yes,96%,---,---,96%,3.31,No,12%,17%,11%,15%,9%,8%,12%,23%,24,28,30,---,---,---,---,---,---,---,---,---,---,---,---,2%,570,610,660,650,1200,1280,590,550,1100,22%,62%,38%,---,20%,17%,52%,---,3%,---,8%,"$50,445","$50,445","$70,069",444,725,"1,311","4,223",47%,83%,62%,"$29,448",87%,"$29,130","$30,553","$2,880","$5,180","$3,209","$9,981","$5,463","$19,993","$31,717",97%,97%,15%,9%,35%,97%,97%,73%,73%,17%,35%,"$33,759","$30,873","$26,720","$24,564","$25,641",
University of Hawaii at Hilo,HI,Hilo,Town: Remote,"2,324",No,No,60%,---,---,60%,3.51,No,13.51%,21.92%,14.11%,14.11%,1.20%,---,13.21%,21.92%,15,19,22,22,---,---,18,14,---,15,---,---,17,20,---,43.73%,490,535,610,565,1035,1110,500,455,898,14.87%,59%,41%,---,17%,1%,21%,---,14%,10%,36%,"$8,258","$21,218","$25,710",129,188,367,"2,292",30%,73%,48%,---,---,"$4,445","$12,936","$1,900","$4,816","$3,730","$7,158","$4,776","$15,842","$7,454",84%,72%,4%,15%,42%,81%,57%,35%,36%,6%,42%,"$19,851","$14,862","$12,607","$9,707","$9,081",
University of Hawaii at Manoa,HI,Honolulu,City: Large,"16,722",No,No,87%,---,---,87%,3.68,No,27%,23%,10%,15%,---,---,5%,20%,20,24,27,24,---,---,20,16,---,17,---,---,20,24,---,2%,530,580,640,650,1120,1240,540,540,1020,1%,60%,40%,---,2%,2%,26%,1%,35%,18%,17%,"$12,402","$34,434","$33,078","1,152","1,754","3,042","15,375",44%,81%,64%,"$10,146",93%,"$5,663","$14,557","$1,919","$4,963","$1,897","$6,319","$4,950","$13,456","$7,540",79%,68%,4%,14%,24%,78%,63%,31%,32%,4%,24%,"$20,462","$16,795","$13,381","$9,971","$7,397",
University of Hawaii Maui College,HI,Kahului,City: Small,"14,523",No,No,84%,---,---,84%,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,57%,43%,---,15%,1%,14%,---,32%,7%,31%,"$3,284","$8,420","$29,126",91,120,---,"2,647",20%,50%,20%,---,---,"$2,273","$9,479",$938,"$3,592","$2,941","$7,500","$7,500",---,"$5,664",57%,54%,4%,23%,34%,55%,31%,1%,1%,---,34%,---,"$11,102","$11,251","$9,369","$8,584",
University of Hawaii-West Oahu,HI,Pearl City,Suburb: Large,773,No,No,95%,---,---,95%,3.5,No,18%,17%,14%,19%,1%,---,14%,17%,15,17,21,21,---,---,17,14,---,15,---,---,17,19,---,48%,450,580,570,510,1120,1210,540,450,1030,7%,64%,36%,---,1%,2%,9%,---,39%,31%,17%,"$7,728","$20,688","$33,530",71,125,238,"2,814",28%,78%,50%,"$2,366",20%,"$4,053","$11,881",$482,"$4,330","$2,478","$5,504","$5,087","$15,014","$7,163",72%,67%,7%,35%,31%,71%,59%,19%,19%,1%,31%,"$16,928","$13,331","$10,881","$6,161","$8,030",
University of Health Sciences and Pharmacy in St. Louis,MO,Saint Louis,City: Large,"1,155",Yes,Yes,75%,97%,88%,72%,3.65,No,---,---,---,---,---,---,---,---,21,23,28,27,---,---,22,20,---,20,---,---,23,26,---,25%,530,590,660,610,1150,1270,560,520,1050,26%,53%,47%,---,2%,14%,66%,---,10%,1%,7%,"$33,189","$33,189","$62,750",55,62,117,275,69%,63%,71%,"$12,649",83%,"$16,349","$33,392","$5,069","$4,747","$2,470","$10,583","$5,089","$17,165","$20,190",100%,100%,27%,15%,34%,100%,100%,69%,71%,23%,60%,"$36,448","$35,407","$29,440","$30,342","$27,383",
University of Idaho,ID,Moscow,Town: Distant,"13,443",No,No,76%,---,---,76%,3.47,No,7.14%,28.70%,12.41%,15.34%,2.84%,---,14.13%,19.44%,20,25,26,26,---,---,24,18,---,19,---,---,24,26.5,---,4%,500,547,630,600,1076,1200,529,490,950,53%,48%,52%,---,11%,1%,78%,1%,1%,---,7%,"$8,816","$29,784","$23,980","1,028",963,"1,869","9,574",43%,76%,59%,"$10,886",82%,"$10,139","$14,377",$584,"$4,896","$3,421","$5,676","$4,872","$11,807","$12,095",96%,95%,12%,21%,25%,96%,93%,37%,38%,3%,30%,"$18,322","$16,256","$12,902","$11,390","$9,930",
University of Illinois Springfield,IL,Springfield,City: Midsize,"2,430",No,Yes,86%,---,---,86%,3.34,No,2.30%,19.70%,12.40%,18.50%,4.20%,---,21.20%,21.60%,20.75,25,27,28.25,---,---,23,19.75,---,19,---,---,25,27,---,11.30%,480,540,610,590,1090,1210,550,460,1010,31.90%,58%,42%,---,12%,14%,63%,---,4%,---,6%,"$12,252","$22,017","$28,440",108,148,259,"2,309",41%,75%,52%,"$9,304",87%,"$9,495","$9,241",$399,"$4,812","$7,055","$5,279","$4,633","$11,627","$14,182",98%,96%,18%,47%,36%,98%,89%,37%,37%,2%,37%,"$15,232","$11,191","$7,999","$5,333","$4,473",
University of Illinois Urbana-Champaign,IL,Champaign,City: Small,"73,742",No,Yes,42%,---,---,42%,---,---,---,---,---,---,---,---,---,---,30,32,34,35,---,---,33,32,---,29,---,---,30,35,---,14.33%,680,690,750,790,1410,1510,720,700,1270,41.28%,50%,50%,---,17%,6%,44%,---,27%,---,7%,"$18,048","$38,400","$35,768","4,535","4,468","8,325","37,140",73%,95%,85%,"$5,756",24%,"$10,783","$14,297",$324,"$5,351","$7,583","$7,193","$4,972","$9,855","$17,524",61%,48%,10%,31%,22%,57%,45%,30%,30%,7%,22%,"$28,358","$20,205","$10,065","$5,955","$3,883",
University of Iowa,IA,Iowa City,City: Small,"27,770",No,No,84%,---,---,84%,3.83,No,32.95%,30.12%,5.16%,11.71%,0.08%,---,1.16%,18.82%,21,25,28,28,---,---,24,20,---,19,---,---,24,27,---,56.62%,570,610,670,660,1220,1320,610,560,1130,18.51%,60%,40%,---,9%,3%,75%,---,4%,---,8%,"$11,622","$33,710","$30,258","2,084","3,067","5,064","22,738",58%,90%,75%,"$6,075",67%,"$8,745","$20,121","$1,402","$4,972","$5,309","$10,038","$5,262","$18,217","$9,512",88%,74%,5%,1%,16%,86%,70%,46%,47%,13%,16%,"$24,580","$22,711","$20,136","$16,220","$13,811",
University of Kansas,KS,Lawrence,City: Small,"22,363",No,No,93%,---,---,93%,3.68,No,---,57%,8%,11%,2%,---,7%,15%,20,24,28,27,---,---,23,20,---,18,---,---,23,27,---,55.20%,540,590,650,650,1160,1290,570,530,1050,8.60%,56%,44%,---,6%,4%,11%,---,70%,6%,3%,"$12,453","$31,332","$29,651","2,308","2,961","5,259","22,085",55%,86%,69%,"$7,973",78%,"$9,441","$18,322",$792,"$4,963","$2,014","$7,351","$5,176","$14,425","$10,644",93%,89%,8%,15%,21%,93%,85%,42%,44%,7%,21%,"$21,310","$20,649","$16,097","$12,702","$10,908",
University of La Verne,CA,La Verne,Suburb: Large,"10,813",No,No,48%,---,---,48%,3.49,No,---,34%,13%,17%,2%,---,14%,19%,18,22,25,25,---,---,21,13,---,18,---,---,21,26,---,1%,510,560,650,653,1115,1303,555,460,970,6%,64%,36%,---,60%,7%,19%,1%,5%,1%,8%,"$49,550","$49,550","$65,780",235,411,743,"2,414",52%,77%,63%,"$24,781",90%,"$26,807","$27,216","$1,221","$4,935","$8,189","$6,769","$5,368","$7,940","$34,314",100%,98%,20%,58%,53%,100%,97%,61%,62%,11%,53%,"$44,064",---,"$54,632","$56,392","$26,754",
University of Lynchburg,VA,Lynchburg,City: Small,"6,948",Yes,No,43%,61%,---,42%,3.46,No,20.78%,11.87%,13.01%,15.07%,6.62%,---,14.84%,17.58%,22,---,27,25,---,---,---,20,---,19,---,---,---,25,---,0.91%,520,560,620,620,1100,1230,540,460,980,9.81%,52%,48%,---,8%,10%,65%,---,2%,---,15%,"$38,150","$38,150","$56,510",210,224,478,"1,595",51%,71%,57%,"$21,070",94%,"$20,620","$22,921","$2,329","$5,107","$4,352","$9,667","$5,485","$13,899","$25,972",100%,100%,25%,73%,32%,100%,100%,62%,74%,27%,56%,"$21,490","$19,594","$19,432","$18,616","$18,308",
University of Maine at Fort Kent,ME,Fort Kent,Rural: Remote,914,No,No,49%,---,---,49%,3.12,No,---,10%,28%,34%,12%,---,6%,8%,21,---,21,21,---,---,---,21,---,22,---,---,---,22,---,1.49%,---,---,---,---,---,---,---,---,---,---,57%,43%,---,3%,4%,82%,---,2%,---,9%,"$9,045","$14,325","$21,577",28,37,71,"1,466",23%,89%,34%,"$5,045",100%,"$4,252","$10,736",$618,"$4,566","$2,068","$6,371","$4,712","$10,369","$7,888",100%,98%,41%,51%,47%,98%,92%,51%,51%,8%,47%,"$15,699","$14,945","$11,580","$9,350","$6,655",
University of Mary Washington,VA,Fredericksburg,Suburb: Midsize,"5,124",Yes,Yes,80%,86%,92%,63%,3.75,No,---,49%,11%,12%,0.90%,---,10%,17%,27,26,31,34,---,---,26,27,---,24,---,---,25,27,---,4%,610,650,710,660,1240,1330,590,560,1140,26%,64%,36%,---,13%,8%,61%,---,5%,---,13%,"$15,290","$28,865","$34,450",257,464,758,"3,660",57%,84%,66%,"$5,488",102%,"$5,457","$21,615",$983,"$4,990","$7,552","$7,436","$4,838","$16,767","$8,901",99%,98%,9%,29%,21%,99%,98%,32%,33%,6%,21%,"$29,234","$26,300","$19,886","$12,388","$11,137",
University of Maryland-College Park,MD,College Park,Suburb: Large,"60,042",No,Yes,45%,---,---,45%,4.44,Yes,91.06%,4.41%,0.88%,0.90%,0.09%,---,0.58%,2.07%,32,33,35,35,---,---,34,33,---,29,---,---,32,35,---,6%,680,710,750,780,1460,1520,750,710,1370,37%,52%,48%,---,12%,13%,40%,---,25%,---,10%,"$12,290","$42,052","$33,360","2,790","2,984","6,197","31,133",76%,96%,89%,"$7,827",33%,"$8,807","$15,833",$778,"$5,383","$6,731","$9,453","$5,120","$25,222","$12,142",65%,52%,5%,21%,16%,62%,45%,22%,23%,4%,17%,"$26,239","$20,855","$12,237","$7,327","$3,603",
University of Massachusetts Chan Medical School,MA,Worcester,City: Midsize,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
University of Massachusetts Global,CA,Irvine,City: Large,11,No,No,36%,---,---,36%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,50%,50%,---,5%,13%,63%,1%,4%,---,14%,"$12,000","$12,000","$42,336",39,39,---,"5,511",---,42%,---,---,---,$775,"$31,715",---,"$3,942",---,"$6,442","$6,442",---,"$2,333",96%,45%,---,---,43%,61%,1%,30%,30%,---,43%,"$33,365","$33,080","$31,200","$32,490","$30,732",
